,zip_code,agi_range,return_count,exemption_count,dependent_count,agi_amt,salary_wages_count,salary_wages_amt,taxable_interest_count,taxable_interest_amt,ordinary_dividends_count,ordinary_dividends_amt,business_income_count,business_income_amt,farm_income_count,net_capital_gain_count,net_capital_gain_amt,taxable_IRA_dist_count,taxable_IRA_dist_amt,pension_income_count,pension_income_amt,unemployment_count,unemployment_amt,social_security_count,social_security_amt,item_deduc_count,item_deduc_amt,charitable_contribution_count,charitable_contribution_amt,mortgage_int_count,mortgage_int_amt,property_tax_count,property_tax_amt,state_local_income_tax_count,state_local_income_tax_amt,state_local_sales_tax_count,state_local_sales_tax_amt,taxable_income_count,taxable_income_amt,tot_tax_credit_count,tot_tax_credit_amt,earned_income_credit_count,earned_income_credit_amt,excess_eaned_income_credit_count,excess_eaned_income_credit_amt,tax_liability_count,tax_liability_amt,balance_due_count,balance_due_amt,refund_count,refund_amt,paid_prep_count,year,agi_amt_avg,salary_avg,mortgage_amt_avg,prop_tax_avg,taxable_income_avg,earned_income_credit_avg,excess_eaned_income_credit_avg
1076,37332,"$75,000 under $100,000",73,207,72,6271,69,4779,35,22,21,10,22,73,0,21,98,0,0,24,670,0,0,31,522,23,411,0,0,20,150,20,18,0,0,23,45,73,4537,36,80,0,0,0,0,73,604,0,0,57,218,43,2011,85.9041095890411,69.2608695652174,7.5,0.9,62.1506849315069,NA,NA
1077,37332,"$100,000 under $200,000",75,188,48,10249,71,8041,46,7,0,0,0,0,0,0,0,0,0,20,700,0,0,0,0,46,870,36,148,35,287,42,43,0,0,39,105,75,8270,27,29,0,0,0,0,75,1477,20,66,53,167,46,2011,136.653333333333,113.253521126761,8.2,1.02380952380952,110.266666666667,NA,NA
1078,37332,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1079,37333,Total,178,404,139,4076,150,3303,32,3,0,0,28,110,0,0,0,0,0,22,141,44,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1548,39,41,77,189,75,173,92,163,0,0,163,447,128,2011,22.8988764044944,22.02,NA,NA,16.8260869565217,2.45454545454545,2.30666666666667
1080,37333,"$1 under $25,000",121,248,89,1535,98,1138,32,3,0,0,28,110,0,0,0,0,0,22,141,44,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,196,0,0,77,189,75,173,45,35,0,0,114,282,93,2011,12.6859504132231,11.6122448979592,NA,NA,5.2972972972973,2.45454545454545,2.30666666666667
1081,37333,"$25,000 under $50,000",57,156,50,2541,52,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1352,39,41,0,0,0,0,47,128,0,0,49,165,35,2011,44.5789473684211,41.6346153846154,NA,NA,24.5818181818182,NA,NA
1082,37333,"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1083,37333,"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1084,37333,"$100,000 under $200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1085,37333,"$200,000 or more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,NA,NA,NA,NA,NA,NA,NA
1086,37334,Total,9535,19969,6740,414998,7796,310084,3113,5230,1229,3080,1711,22714,765,1112,5584,793,9895,2133,42941,605,2928,1321,13185,1682,30262,1355,6718,1274,10177,1481,1712,553,2176,1048,1945,7081,258103,2967,3112,2204,4916,1915,4310,6765,41455,1404,4749,7689,20721,5932,2011,43.5236497115889,39.7747562852745,7.98822605965463,1.15597569209993,36.4500776726451,2.23049001814882,2.25065274151436
1087,37334,"$1 under $25,000",4159,6903,2421,53431,3150,39366,841,1017,288,586,693,4825,171,257,76,229,1333,652,6146,315,1452,186,322,201,2743,130,350,111,675,151,131,0,0,158,224,1787,10521,523,171,1539,3717,1385,3313,1885,1623,377,264,3500,7776,2385,2011,12.8470786246694,12.4971428571429,6.08108108108108,0.867549668874172,5.88752098489088,2.41520467836257,2.39205776173285
1088,37334,"$25,000 under $50,000",2555,5580,1974,91517,2193,73186,728,962,274,492,405,3496,175,243,417,188,1686,572,10066,148,728,504,2810,358,5302,259,873,245,1442,295,247,91,167,260,337,2476,46410,1104,969,665,1199,530,997,2104,5281,290,423,2202,6359,1626,2011,35.8187866927593,33.3725490196078,5.88571428571429,0.83728813559322,18.7439418416801,1.80300751879699,1.8811320754717
1089,37334,"$50,000 under $75,000",1320,3304,1011,81399,1137,62651,580,739,222,471,251,2270,147,200,369,151,1707,400,9837,74,344,305,4059,361,6010,280,1046,281,2145,309,271,93,222,252,408,1317,52761,624,926,0,0,0,0,1278,6788,255,499,1036,3069,889,2011,61.6659090909091,55.1020228671944,7.63345195729537,0.877022653721683,40.0615034168565,NA,NA
1090,37334,"$75,000 under $100,000",722,1990,640,62463,623,46944,391,669,166,377,150,2031,116,144,615,108,1482,246,7883,34,187,174,2846,275,4854,235,1128,226,1860,258,283,101,335,165,348,722,45084,357,628,0,0,0,0,719,6236,171,516,529,1823,497,2011,86.5138504155125,75.3515248796148,8.23008849557522,1.0968992248062,62.4432132963989,NA,NA
1091,37334,"$100,000 under $200,000",660,1872,603,86026,591,65591,468,850,212,755,160,5233,117,195,1564,95,2397,224,7156,34,217,129,2570,389,8072,358,2109,344,3155,372,517,222,1023,162,450,660,67857,319,399,0,0,0,0,660,12245,241,1160,390,1516,441,2011,130.342424242424,110.983079526227,9.17151162790698,1.38978494623656,102.813636363636,NA,NA
1092,37334,"$200,000 or more",119,320,91,40162,102,22346,105,993,67,399,52,4859,39,73,2543,22,1290,39,1853,0,0,23,578,98,3281,93,1212,67,900,96,263,46,429,51,178,119,35470,40,19,0,0,0,0,119,9282,70,1887,32,178,94,2011,337.495798319328,219.078431372549,13.4328358208955,2.73958333333333,298.067226890756,NA,NA
